microtrait_rule-name	microtrait_rule-boolean
acrF	('acrF')
actP	('actP')
ade_full	('adeB' & 'adeC')
ade_partial	('adeB' | 'adeC')
adiC	('adiC')
afu_full	('afuA' & 'afuB' & 'afuC')
afu_key	('afuA')
aga_full	('agaEIIA' & 'agaEIIB' & 'agaEIIC' & 'agaEIID')
aga_partial	('agaEIIA' | 'agaEIIB' | 'agaEIIC' | 'agaEIID')
agl_full	('aglE' & 'aglF' & 'aglG' & ('aglK' | 'msmX'))
agl_key	('aglE')
agu_full	('aguE' & 'aguF' & 'aguG')
agu_key	('aguE')
algE	('algE')
allP	('allP')
als_full	('alsA' & 'alsB' & 'alsC')
als_key	('alsB')
ameC	('ameC')
amiS	('amiS')
ampG	('ampG')
amsL	('amsL')
amt	('amt')
ansP	('ansP')
aot_full	('aotJ' & 'aotM' & 'aotQ' & 'aotP')
aot_key	('aotJ')
ara-1_full	('araN' & 'araP' & 'araQ' & 'msmX')
ara-1_key	('araN')
ara-2_full	('araF' & 'araG' & 'araH')
ara-2_key	('araF')
araE	('araE')
araJ	('araJ')
arcD	('arcD')
arg_full	('arg1' & 'arg2' & 'arg3' & 'arg4')
arg_key	('arg1')
argT	('argT')
arnE	('arnE')
arsB-1	('arsB1')
arsB-2	('arsB2')
art-1_full	('artJ' & 'artI' & 'artM' & 'artQ1' & 'artP1')
art-1_partial	('artJ' | 'artI')
art-2_full	('artQ2' & 'artP2' & 'artR')
art-2_key	('artP2')
asc_full	('ascEIIB' & 'ascEIIC')
asc_partial	('ascEIIB' | 'ascEIIC')
atoE_key	('atoE')
att_full	('attA1' & 'attB' & 'attC' & 'attA2')
att_key	('attC')
bce_full	('bceA' & 'bceB')
bce_key	('bceB')
bcr_full	('bcrA' & 'bcrB')
bcr_key	('bcrB')
benE	('benE')
betL	('betL')
betT	('betT')
bgl_full	('bglEIIA' & 'bglEIIB' & 'bglEIIC')
bgl_partial	('bglEIIA' | 'bglEIIB' | 'bglEIIC')
bglH	('bglH')
bgt_full	('bgtB' & 'bgtA')
bgt_key	('bgtB')
bica	('bica')
bio-1_full	('bioY' & 'bioN' & 'bioM')
bio-1_key	('bioY')
bio-2_full	('bioY' & 'ecfT' & ('ecfA1' | 'ecfA2'))
bio-2_key	('bioY')
blpA	('blpA')
bpeEF-oprC_full	('bpeE' & 'bpeF' & 'oprC')
bpeEF-oprC_partial	('bpeE' | 'bpeF' | 'oprC')
bra_full	('braD' & 'braE')
bra_partial	('braD' | 'braE')
btu_full	('btuC' & 'btuD' & 'btuF')
btu_key	('btuF')
btuB	('btuB')
bxl_full	('bxlE' & 'bxlF' & 'bxlG')
bxl_key	('bxlE')
cbi-1_full	('cbiM' & 'cbiN' & 'cbiO' & 'cbiQ')
cbi-1_partial	('cbiM' | 'cbiN' | 'cbiQ')
cbi-2_full	('cbiK' & ('cbiN' | 'cbiL') & 'cbiM' & 'cbiQ' & 'cbiO')
cbi-2_key	('cbiK')
ccm-1_full	('ccmD' & 'ccmB' & 'ccmC' & 'ccmA')
ccm-1_partial	('ccmD' | 'ccmB' | 'ccmC' | 'ccmA')
ceb_full	('cebE' & 'cebF' & 'cebG' & 'msmX')
ceb_key	('cebE')
cel_full	('celEIIA' & 'celEIIB' & 'celEIIC')
cel_partial	('celEIIA' | 'celEIIB' | 'celEIIC')
cfrA	('cfrA')
chaA	('chaA')
chi_full	('chiE' & 'chiF' & 'chiG')
chi_key	('chiE')
chrA	('chrA')
citA	('citA')
citT	('citT')
cmlA	('cmlA')
cmp_full	('cmpB' & 'cmpA' & 'cmpC' & 'cmpD')
cmp_key	('cmpA')
codB	('codB')
corA	('corA')
cusA	('cusA')
cusC	('cusC')
cycA	('cycA')
cyd_full	('cydC' & 'cydD' & 'cydCD')
cyd_partial	('cydC' | 'cydD' | 'cydCD')
cys_full	('sbp' & 'cysU' & 'cysA' & 'cysW' & 'cysP')
cys_partial	('sbp' | 'cysP')
czcA	('czcA')
czcC	('czcC')
czcD	('czcD')
das_full	('dasC' & 'dasB' & 'dasA')
das_key	('dasA')
dct_full	('dctQ' & 'dctP' & 'dctM')
dct_key	('dctP')
dctA	('dctA')
dcuA	('dcuA')
dcuB	('dcuB')
dcuC	('dcuC')
dev_full	('devC' & 'devA' & 'devB' & 'hgdD')
dev_partial	('devC' | 'devA' | 'devB' | 'hgdD')
dga_full	('dgaEIIA' & 'dgaEIIB' & 'dgaEIIC' & 'dgaEIID')
dga_partial	('dgaEIIA' | 'dgaEIIB' | 'dgaEIIC' & 'dgaEIID')
dgl_full	('dglEIIA' & 'dglEIIB' & 'dglEIIC')
dgl_partial	('dglEIIA' | 'dglEIIB' | 'dglEIIC')
dltB	('dltB')
dpp-1_full	('dppA1' & 'dppB1' & 'dppC1' & 'dppD1' & 'dppF1')
dpp-1_key	('dppA1')
dpp-2_full	('dppB2' & 'dppC2' & 'dppD2' & 'dppE')
dpp-2_key	('dppE')
dsdX	('dsdX')
eamA	('eamA')
eamB	('eamB')
ebr-1_full	('ebrA' & 'ebrB')
ebr-1_partial	('ebrA' | 'ebrB')
ebr-2	('ebr')
ecfA1	('ecfA1')
eexD_key	('eexD')
efeB	('efeB')
efeO	('efeO')
emrK	('emrK')
emrY	('emrY')
entS	('entS')
eps_full	('epsE' & 'epsF')
eps_partial	('epsE' | 'epsF')
ery_full	('eryG' & 'eryF' & 'eryE')
ery_key	('eryG')
exb_full	('exbB' & 'exbD')
exb_key	('exbB' | 'exbD')
exbD_full	('exbB' | 'exbD')
exbD_key	('exbB' | 'exbD')
exoF	('exoF')
exoT	('exoT')
fadL	('fadL')
fdhC	('fdhC')
fec_full	('fecE' & 'fecB' & 'fecD' & 'fecC')
fec_key	('fecB')
fecA	('fecA')
fep_full	('fepC' & 'fepG' & 'fepD' & 'fepB')
fep_key	('fepB')
fepA	('fepA')
fev_full	('fevA' & 'fevP' & 'fevS')
fev_key	('fevS')
fhu_full	('fhuC' & 'fhuB' & 'fhuD')
fhu_key	('fhuD')
fieF	('fieF')
fiu	('fiu')
flq_full	('flqA' & 'flqB' & 'flqC')
flq_partial	('flqA' | 'flqB' | 'flqC')
focA	('focA')
focB	('focB')
fpvA	('fpvA')
frc_full	('frcA' & 'frcB' & 'frcC')
frc_key	('frcB')
fru1_full	('fru1EIIA' & 'fru1EIIB' & 'fru1EIIC' & 'levG')
fru1_partial	('fru1EIIA' | 'fru1EIIB' | 'fru1EIIC' & 'levG')
fru2_full	('fru2EIIA' & 'fru2EIIB' & 'fru2EIIC')
fru2_partial	('fru2EIIA' | 'fru2EIIB' | 'fru2EIIC')
ftrA	('ftrA')
gadC	('gadC')
gal_full	('galEIIA' & 'galEIIB' & 'galEIIC')
gal_partial	('galEIIA' | 'galEIIB' | 'galEIIC')
galP	('galP')
gam_full	('gamEIIB' & 'gamEIIC' & 'gamEIID')
gam_partial	('gamEIIB' | 'gamEIIC' | 'gamEIID')
gan_full	('ganO' & 'ganP' & 'ganQ' & ('malK' | 'msmX'))
gan_key	('ganO')
gat_full	('gatEIIA' & 'gatEIIB' & 'gatEIIC')
gat_partial	('gatEIIA' | 'gatEIIB' | 'gatEIIC')
gesB	('gesB')
gfr_full	('gfrEIIA' & 'gfrEIIB' & 'gfrEIIC' & 'gfrEIID')
gfr_partial	('gfrEIIA' | 'gfrEIIB' | 'gfrEIIC' & 'gfrEIID')
ggu_full	('gguA' & 'gguP' & 'gguS')
ggu_key	('gguS')
glc_full	('glcP' & 'glcP1' & 'glcS' & 'glcA')
glc_key	('glcS')
glc-1_full	('glc1EIIA' & 'glc1EIIB' & 'glc1EIIC')
glc-1_partial	('glc1EIIA' | 'glc1EIIB' | 'glc1EIIC')
glc-2_full	('glc2EIIA' & 'glc2EIIB' & 'glc2EIIC')
glc-2_partial	('glc2EIIA' | 'glc2EIIB' | 'glc2EIIC')
glcT1	('glcT1')
glcU	('glcU')
glf	('glf')
gln_full	('glnH' & 'glnP' & 'glnQ')
gln_key	('glnH')
glp_full	('glpP' & 'glpQ' & 'glpV' & 'glpS' & 'glpT')
glp_key	('glpV')
glpF	('glpF')
glt_full	('gltI' & 'gltK' & 'gltJ' & 'gltL')
glt_key	('gltI')
gltP	('gltP')
glu_full	('gluB' & 'gluC' & 'gluD' & 'gluA')
glu_key	('gluB')
glucP	('glucP')
glv_full	('glvEIIB' & 'glvEIIC')
glv_partial	('glvEIIB' | 'glvEIIC')
glycA	('glcA')
gntP	('gntP')
gntT	('gntT')
gntU	('gntU')
gsi_full	('gsiC' & 'gsiD' & 'gsiB' & 'gsiA')
gsi_key	('gsiB')
gts_full	('gtsA' & 'gtsB' & 'gtsC' & 'msmX')
gts_key	('gtsA')
gut_full	('gutEIIA' & 'gutEIIB' & 'gutEIIC')
gut_partial	('gutEIIA' | 'gutEIIB' | 'gutEIIC')
gutA	('gutA')
hasA	('hasA')
hasR	('hasR')
hcaT	('hcaT')
his_full	('hisJ' & 'hisP' & 'hisQ' & 'hisM')
his_key	('hisJ')
hpt	('hpt')
hrt_full	('hrtA' & 'hrtB')
hrt_key	('hrtB')
hutM	('hutM')
hutT	('hutT')
hxt	('hxt')
idnT	('idnT')
ino_full	('inoF' & 'inoG' & 'inoE' & 'inoK')
ino_key	('inoE')
iolF	('iolF')
itsp-1_full	('ibpA1' & 'iatP1' & 'iatA1')
itsp-1_key	('ibpA1')
itsp-2_full	('iatP2' & 'iatA2' & 'ibpA2')
itsp-2_key	('ibpA2')
kdgM	('kdgM')
kdgT	('kdgT')
kgtP	('kgtP')
kps_full	('kpsM' & 'kpsE' & 'kpsT')
kps_key	('kpsE' | 'kpsT')
kup	('kup')
lac-1_full	('lacEIIA' & 'lacEIIB' & 'lacEIIC')
lac-1_partial	('lacEIIA' | 'lacEIIB' | 'lacEIIC')
lac-2_full	('lacE' & 'lacF' & 'lacG' & 'lacK')
lac-2_key	('lacE')
lacS	('lacS')
lacY	('lacY')
lamB	('lamB')
lctB	('lctB')
lctP-1	('lctP1')
lctP-2	('lctP2')
leuE	('leuE')
lhp_full	('lhpM' & 'lhpN' & 'lhpO' & 'lhpP')
lhp_key	('lhpP')
liv_full	('livG' & 'livF' & 'livH' & 'livM' & 'livK')
liv_key	('livK')
lol_and	('lolD' & 'lolC_E')
lol_or	('lolD' | 'lolC_E')
lpiT	('lplT')
lpl_full	('lplC' & 'lplB' & 'lplA')
lpl_key	('lplA')
lpse_full	('lpseA' & 'lpseP')
lpse_key	('lpseP')
lpt_and	('lptB' & 'lptF' & 'lptG')
lpt_or	('lptB' | 'lptF' | 'lptG')
lptA	('lptA')
lptC_and	('lptC' & 'lptD' & 'lptG')
lptC_or	('lptC' | 'lptD' | 'lptG')
lptD_and	('lptC' & 'lptD' & 'lptG')
lptD_or	('lptC' | 'lptD' | 'lptG')
lptE	('lptE')
lys_full	('lysX1' & 'lysX2' & 'lysY')
lys_key	('lysX1')
lysE	('lysE')
lysP	('lysP')
macA_full	('macA' & 'macB')
macA_partial	('macA' | 'macB')
macB_full	('macA' & 'macB')
macB_partial	('macA' | 'macB')
maeN	('maeN')
mal-1_full	('malEIIB' & 'malEIIC')
mal-1_partial	('malEIIB' | 'malEIIC')
mal-2_full	('malE' & 'malF' & 'malG' & ('malK' | 'msmX'))
mal-2_key	('malE')
malglc_full	('malglcEIIB' & 'malglcEIIC')
malglc_partial	('malglcEIIB' | 'malglcEIIC')
malY	('malY')
man_full	('manEIIA' & 'manEIIB' & 'manEIIC' & 'manEIID')
man_partial	('manEIIA' | 'manEIIB' | 'manEIIC' & 'manEIID')
marC	('marC')
mdcF	('mdcF')
mdt_full	('mdtB' & 'mdtC')
mdt_partial	('mdtB' | 'mdtC')
mdtD	('mdtD')
mdtF	('mdtF')
mdtO	('mdtO')
mdtP	('mdtP')
melB	('melB')
mer_full	('merP' & 'merT')
mer_partial	('merP' | 'merT')
merC	('merC')
merE	('merE')
met_full	('metN' & 'metI' & 'metQ')
met_key	('metQ')
mfs.cp	('mfs.cp')
mfs.set	('mfs.set')
mgl_full	('mglA' & 'mglB' & 'mglC')
mgl_key	('mglB')
mgtE	('mgtE')
mhpT	('mhpT')
mla-1_full	('mlaB' & 'mlaC' & 'mlaF' & 'mlaE' & 'mlaD')
mla-1_partial	('mlaB' | 'mlaC' | 'mlaF' | 'mlaE' | 'mlaD')
mla-2	('mlaA')
mleP	('mleP')
mmpL10	('mmpL10')
mmpL11	('mmpL11')
mmr	('mmr')
mmuP	('mmuP')
mn_full	('mnA' & 'mnP' & 'mnS')
mn_key	('mnS')
mng_full	('mngEIIA' & 'mngEIIB' & 'mngEIIC')
mng_partial	('mngEIIA' | 'mngEIIB' | 'mngEIIC')
mnh_full	('mnhB' & 'mnhC' & 'mnhE' & 'mnhA' & 'mnhF' & 'mnhG' & 'mnhD')
mnh_partial	('mnhB' | 'mnhC' | 'mnhE' | 'mnhA' | 'mnhF' | 'mnhG' | 'mnhD')
mnt-1_full	('mntA1' & 'mntB1' & 'mntC1')
mnt-1_key	('mntC1')
mnt-2_full	('mntA2' & 'mntB2' & 'mntC2')
mnt-2_key	('mntC2')
mntH	('mntH')
mntP_key	('mntP')
mod_full	('modF' & 'modC' & 'modB' & 'modA')
mod_key	('modA')
motA	('motA')
motB	('motB')
msbA	('msbA')
mscL	('mscL')
msm-1_full	('msmE1' & 'msmF1' & 'msmG1' & 'msmX')
msm-1_key	('msmE1')
msm-2_full	('msmE2' & 'msmF2' & 'msmG2' & 'msmX')
msm-2_key	('msmE2')
mthK	('mthK')
mtl-1_full	('mtlEIIA' & 'mtlEIIB' & 'mtlEIIC')
mtl-1_partial	('mtlEIIA' | 'mtlEIIB' | 'mtlEIIC')
mtl-2_full	('mtlE' & 'mtlF' & 'mtlG' & ('malK' | 'msmX'))
mtl-2_partial	('mtlE')
mtr-2	('mtr')
mtrD	('mtrD')
mts_full	('mtsA' & 'mtsB' & 'mtsC')
mts_key	('mtsA')
mur_full	('murEIIB' & 'murEIIC')
mur_partial	('murEIIB' | 'murEIIC')
nag_full	('nagEIIA' & 'nagEIIB' & 'nagEIIC')
nag_partial	('nagEIIA' | 'nagEIIB' | 'nagEIIC')
nat-1_full	('natA' & 'natB')
nat-1_key	('natB')
nat-2_full	('natB1' & 'natC' & 'natD1' & 'natA1' & 'natE')
nat-2_key	('natB1')
nepI	('nepI')
ngc_full	('ngcE' & 'ngcF' & 'ngcG')
ngc_key	('ngcE')
nhaA	('nhaA')
nhaB	('nhaB')
nhaC	('nhaC')
niaX	('niaX')
nik_full	('nikA' & 'nikB' & 'nikC' & 'nikD' & 'nikE')
nik_key	('nikA')
nirC	('nirC')
nis_full	('nisG' & 'nisE' & 'nisF')
nis_partial	('nisG' | 'nisE' | 'nisF')
nisA	('nisA')
nitregulatory_full	('ptsP' & 'ptsO' & 'ntrEIIA')
nitregulatory_partial	('ptsP' & 'ptsO' | 'ntrEIIA')
nixA	('nixA')
nod_full	('nodI' & 'nodJ')
nod_partial	('nodI' | 'nodJ')
nos_full	('nosF' & 'nosY')
nos_key	('nosY')
nrsA	('nrsA')
nrt_full	('nrtD' & 'nrtC' & 'nrtB' & 'nrtA')
nrt_key	('nrtA')
nuk_full	('nukE' & 'nukF' & 'nukG')
nuk_partial	('nukE' | 'nukF' | 'nukG')
nupC	('nupC')
nupG	('nupG')
nupX	('nupX')
occ_full	('occP' & 'occQ' & 'occM' & 'occT')
occ_key	('occT')
oleC_full	('oleC4' & 'oleC5')
oleC_key	('oleC5')
ompA	('ompA')
opmD_key	('opmD')
opmE	('opmE')
opp-1_full	('oppA1' & 'oppB1' & 'oppC1' & 'oppD1' & 'oppF1')
opp-1_key	('oppA1')
oprB	('oprB')
oprD	('oprD')
oprN	('oprN')
oprO_P	('oprO_P')
opu_and	('opuBD' & 'opuA' & 'opuC')
opu_key	('opuC')
oqxB	('oqxB')
oxlT	('oxlT')
pa_full	('pap' & 'pas')
pa_partial	('pap' | 'pas')
paa	('paa')
panF	('panF')
pbuE	('pbuE')
pbuG	('pbuG')
peb_full	('peb1A' & 'peb1B' & 'peb1C')
peb_key	('peb1A')
pha_full	('phaC' & 'phaF' & 'phaG' & 'phaE' & 'phaD' & 'phaA')
pha_partial	('phaC' | 'phaF' | 'phaG' | 'phaE' | 'phaD' | 'phaA')
pheP	('pheP')
phn-1_full	('phnS' & 'phnV' & 'phnU' & 'phnT')
phn-1_partial	('phnS' | 'phnV' | 'phnU' | 'phnT')
phn-2_full	('phnC' & 'phnE' & 'phnD')
phn-2_partial	('phnC' | 'phnE' | 'phnD')
pho84	('PHO84')
phoE	('phoE')
pit	('pit')
pro_and	('proW' & 'proV' & 'proX')
pro_key	('proX')
proP	('proP')
proY	('proY')
pslD	('pslD')
pst_full	('pstC' & 'pstA' & 'pstB' & 'pstS')
pst_partial	('pstC' | 'pstA' | 'pstB' | 'pstS')
psuT	('psuT')
ptsIfruB_full	('ptsI' & 'fruB')
ptsIfruB_partial	('ptsI' | 'fruB')
ptsIhpr_full	('ptsI' & 'hpr')
ptsIhpr_partial	('ptsI' | 'hpr')
ptsIptsH_full	('ptsI' & 'ptsH')
ptsIptsH_partial	('ptsI' | 'ptsH')
ptsPptsO_full	('ptsP' & 'ptsO')
ptsPptsO_partial	('ptsP' | 'ptsO')
pucJ	('pucJ')
putP	('putP')
puuP	('puuP')
pvdE	('pvdE')
rbs_full	('rbsA' & 'rbsB' & 'rbsC')
rbs_key	('rbsB')
rbsU	('rbsU')
rcnA	('rcnA')
rha-1_full	('rhaP' & 'rhaQ' & 'rhaS' & 'rhaT1')
rha-1_key	('rhaS')
rha-2	('rhaT2')
rhtA	('rhtA')
rhtB	('rhtB')
rhtC	('rhtC')
rib_full	('ribS' & 'ribP')
rib_partial	('ribS' | 'ribP')
rocE	('rocE')
rutG	('rutG')
sam	('sam')
sap_full	('sapA' & 'sapB' & 'sapC' & 'sapD' & 'sapF')
sap_key	('sapA')
satP	('satP')
scr_full	('scrEIIA' & 'scrEIIB' & 'scrEIIC')
scr_partial	('scrEIIA' | 'scrEIIB' | 'scrEIIC')
scrY	('scrY')
sdaC	('sdaC')
sit_full	('sitA' & 'sitB' & 'sitC' & 'sitD')
sit_key	('sitA')
sme_full	('smeB' & 'smeC')
sme_partial	('smeB' | 'smeC')
sor_full	('sorEIIA' & 'sorEIIB' & 'sorEIIC' & 'sorEIID')
sor_partial	('sorEIIA' | 'sorEIIB' | 'sorEIIC' & 'sorEIID')
sotB	('sotB')
sstT	('sstT')
ssu_full	('ssuB' & 'ssuC' & 'ssuA')
ssu_key	('ssuA')
ste_full	('steA' & 'steB')
ste_partial	('steA' | 'steB')
sug-1_full	('sugP' & 'sugP1' & 'sugS1')
sug-1_partial	('sugP' | 'sugP1' | 'sugS1')
sug-2_full	('sugA' & 'sugP2' & 'sugS2')
sug-2_partial	('sugA' | 'sugP2' | 'sugS2')
syrD	('syrD')
tag_full	('tagH' & 'tagG')
tag_key	('tagG')
tau_full	('tauB' & 'tauC' & 'tauA')
tau_key	('tauA')
tc_2.A.76.1.6	('tc_2.A.76.1.6')
tc.aat	('tc.aat')
tc.agcs	('tc.agcs')
tc.apa	('tc.apa')
tc.bat2	('tc.bat2')
tc.citmhs	('tc.citmhs')
tc.cnt	('tc.cnt')
tc.dass	('tc.dass')
tc.dme	('TC.DME')
tc.fev	('tc.fev')
tc.gntp	('TC.GNTP')
tc.gph	('tc.gph')
tc.hae1	('TC.HAE1')
tc.livcs	('tc.livcs')
tc.ncs1	('tc.ncs1')
tc.ncs2	('tc.ncs2')
tc.nss	('tc.nss')
tc.pot	('tc.pot')
tc.sss	('tc.sss')
tc.sulp	('tc.sulp')
tc2.A.86.1.7	('tc2.A.86.1.7')
tct_full	('tctB' & 'tctC' & 'tctA')
tct_partial	('tctB' | 'tctC' | 'tctA')
tcy-1_full	('tcyA' & 'tcyB' & 'tcyC')
tcy-1_key	('tcyA')
tcy-2_full	('tcyJ' & 'tcyK' & 'tcyL' & 'tcyM' & 'tcyN')
tcy-2_partial	('tcyJ' | 'tcyK')
tdcC	('tdcC')
tehA	('tehA')
tet35	('tet35')
thi_full	('thiQ' & 'thiP' & 'thiB')
thi_key	('thiB')
thiT	('thiT')
thu_full	('thuE' & 'thuF' & 'thuG' & 'malK')
thu_key	('thuE')
tnaB	('tnaB')
tog_full	('togA' & 'togM' & 'togN' & 'togB')
tog_key	('togB')
togT	('togT')
tol_full	('tolQ' & 'tolR')
tol_partial	('tolQ' | 'tolR')
treE_full	('treEIIA' & 'treEIIB' & 'treEIIC')
treE_partial	('treEIIA' | 'treEIIB' | 'treEIIC')
triC	('triC')
trkA	('trkA')
trkH	('trkH')
tro_full	('troA' & 'troB' & 'troC' & 'troD')
tro_key	('troA')
trp_full	('trpA' & 'trpP' & 'trpS')
trp_key	('trpS')
tsx	('tsx')
ttdT	('ttdT')
tuaB	('tuaB')
tup_full	('tupA' & 'tupB' & 'tupC')
tup_key	('tupA')
tutB	('tutB')
tyrP	('tyrP')
ugp_and	('ugpC' & 'ugpE' & 'ugpA' & 'ugpB')
ugp_key	('ugpB')
uhpC	('uhpC')
uid-1	('uidC')
uid-2	('uidB')
ula_full	('ulaEIIA' & 'ulaEIIB' & 'ulaEIIC')
ula_partial	('ulaEIIA' | 'ulaEIIB' | 'ulaEIIC')
uraA	('uraA')
urt_full	('urtB' & 'urtD' & 'urtE' & 'urtA' & 'urtC')
urt_key	('urtA')
utp	('utp')
vb1x_and	('vb1xA' & 'vb1xS' & 'vb1xP')
vb1x_key	('vb1xS')
vex_full	('vexB' & 'vexD' & 'vexC')
vex_key	('vexB' | 'vexD')
vexA	('vexA')
vexF	('vexF')
vpsM	('vpsM')
vpsN	('vpsN')
wtp_full	('wtpA' & 'wtpB' & 'wtpC')
wtp_key	('wtpA')
wza	('wza')
wzxC	('wzxC')
xanP	('xanP')
xanQ	('xanQ')
xapB	('xapB')
xlt_full	('xltA' & 'xltB' & 'xltC')
xlt_key	('xltC')
xyl_full	('xylF' & 'xylG' & 'xylH')
xyl_key	('xylF')
xylE	('xylE')
yad_full	('yadH' & 'yadG')
yad_partial	('yadH' | 'yadG')
yahN	('yahN')
ydjE	('ydjE')
yia_full	('yiaN' & 'yiaM' & 'yiaO')
yia_partial	('yiaN' | 'yiaM' | 'yiaO')
yjbB	('yjbB')
yjeH	('yjeH')
ykk_full	('ykkC' & 'ykkD')
ykk_partial	('ykkC' | 'ykkD')
ylnA	('ylnA')
ynfM	('ynfM')
yojI	('yojI')
yqgE	('yqgE')
yrbG	('yrbG')
ytr_full	('ytrB' & 'ytrE' & 'ytrF' & 'ytrC_D')
ytr_partial	('ytrB' | 'ytrE' | 'ytrF' | 'ytrC_D')
yuiF	('yuiF')
yxjA	('yxjA')
yyd_full	('yydI' & 'yydJ')
yyd_partial	('yydI' | 'yydJ')
zipB	('zipB')
zm_full	('zmA' & 'zmP' & 'zmS')
zm_key	('zmS')
zntB	('zntB')
znu_full	('znuA' & 'znuB' & 'znuC')
znu_key	('znuA')
pyruvate->SCFAs	(('pyruvate->butanoate') | ('propionate fermentation_succinatepathway') | ('pyruvate->acetate'))
pyruvate->lactate and ethanol	(('pyruvate->lactate') & ('acetaldehyde->ethanol'))
pyruvate->alcohols	(('pyruvate->ethanol') | ('pyruvate->butyleneglycol') | ('acetone->isopropanol') | ('pyruvate->butanol'))
acetyl-CoA->acetate	(('acetyl-CoA->acetyl-P') & ('acetyl-P<->acetate'))
nuo_and	('nuoA' & 'nuoB' & 'nuoC' & 'nuoD' & 'nuoE' & 'nuoF' & 'nuoG' & 'nuoH' & 'nuoI' & 'nuoJ' & 'nuoK' & 'nuoL' & 'nuoM' & 'nuoN')
nuo_or	('nuoA' | 'nuoB' | 'nuoBCD' | 'nuoC' | 'nuoCD' | 'nuoD' | 'nuoE' | 'nuoF' | 'nuoG' | 'nuoH' | 'nuoI' | 'nuoJ' | 'nuoK' | 'nuoL' | 'nuoLM' | 'nuoM' | 'nuoN')
ETC_complexI	('nuo_and')
ETC_complexII	('succinate->fumarate_key')
cytochromecreductase_or	('qcrA' | 'fbcH' | 'petB_2' | 'petB_1' | 'qcrB')
ETC_complexIII	('cytochromecreductase_or')
cytochromeoubiquinol_and	('cyoA' & 'cyoB' & 'cyoC')
cytochromec_and	('coxA' & 'coxB' & 'coxC')
cytochromeaa3600menaquinol_and	('qoxA' & 'qoxB' & 'qoxC')
cytochromeccbb3oxidase_and	('ccoN' & 'ccoO' & 'ccoP')
ETC_complexIV	(('cytochromeoubiquinol_and') | ('cytochromec_and') | ('cytochromeaa3600menaquinol_and' | 'cytochromeccbb3oxidase_and'))
cytochromebd_and	('cydA' & 'cydB')
ATPaseFtype_and	('atpA' & 'atpB' & 'atpC' & 'atpD' & 'atpE' & 'atpF' & 'atpG' & 'atpH')
ATPaseVAtype_and	('atpvaA' & 'atpvaB' & 'atpvaC' & 'atpvaD' & 'atpvaE' & 'atpvaF' & 'atpvaGH')
ndh_and	('ndhA' & 'ndhB' & 'ndhC' & 'ndhD' & 'ndhE' & 'ndhF' & 'ndhG' & 'ndhH' & 'ndhI' & 'ndhJ' & 'ndhK' & 'ndhL' & 'ndhM' & 'ndhN')
ndh_or	('ndhA' | 'ndhB' | 'ndhC' | 'ndhD' | 'ndhE' | 'ndhF' | 'ndhG' | 'ndhH' | 'ndhI' | 'ndhJ' | 'ndhK' | 'ndhL' | 'ndhM' | 'ndhN')
hox_and	('hoxE' & 'hoxF_1' & 'hoxU_1')
hox_or	('hoxE' | 'hoxF_1' | 'hoxU_1')
qmo_and	('qmoA' & 'qmoB' & 'qmoC')
qmo_or	('qmoA' | 'qmoB' | 'qmoC')
fpo_and	('fpoA' & 'fpoB' & 'fpoC' & 'fpoD' & 'fpoF' & 'fpoH' & 'fpoI' & 'fpoJ' & 'fpoK' & 'fpoL' & 'fpoM' & 'fpoN' & 'fpoO')
fpo_or	('fpoA' | 'fpoB' | 'fpoC' | 'fpoD' | 'fpoF' | 'fpoH' | 'fpoI' | 'fpoJ' & 'fpoK' | 'fpoL' | 'fpoM' | 'fpoN' | 'fpoO')
ech_and	('echA' & 'echB' & 'echC' & 'echD' & 'echE' & 'echF')
ech_or	('echA' | 'echB' | 'echC' | 'echD' | 'echE' | 'echF')
vht_and	('vhtA' & 'vhtC' & 'vhtG')
vht_or	('vhtA' | 'vhtC' | 'vhtG')
nqr_and	('nqrA' & 'nqrB' & 'nqrC' & 'nqrD' & 'nqrE' & 'nqrF')
nqr_or	('nqrA' | 'nqrB' | 'nqrC' | 'nqrD' | 'nqrE' | 'nqrF')
hyd_and	('hydA_1' & 'hydD' & 'hydG' & 'hydB_1')
hyd_or	('hydA_1' | 'hydD' | 'hydG' | 'hydB_1')
rnf_and	('rnfA' & 'rnfB' & 'rnfC' & 'rnfD' & 'rnfE' & 'rnfG')
rnf_or	('rnfA' | 'rnfB' | 'rnfC' | 'rnfD' | 'rnfE' | 'rnfG')
bacteriochlorophyll g synthesis	('bchX' | 'bchY' | 'bchZ')
