microtrait_rule-name	microtrait_rule-boolean
propionyl-CoA->acetyl-CoA-3hp4hb	(('propionyl-CoA+HCO3->S-methylmalonyl-CoA') & ('S-methylmalonyl-CoA<->R-methylmalonyl-CoA') & ('R-methylmalonyl-CoA<->succinyl-CoA') & ('succinyl-CoA->succinate semialdehyde') & ('succinate semialdehyde->4-hydroxybutyrate') & ('4-hydroxybutyrate->4-hydroxybutyryl-CoA') & ('4-hydroxybutyryl-CoA->crotonoyl-CoA') & ('crotonoyl-CoA->3-hydroxybutyryl-CoA') & ('3-hydroxybutyryl-CoA->acetoacetyl-CoA') & ('acetoacetyl-CoA->acetyl-CoA'))
3hp4hb_full	(('propionyl-CoA->acetyl-CoA-3hp4hb') & ('acetyl-CoA->propionyl-CoA'))
3hp4hb_key1	((('4-hydroxybutyryl-CoA->crotonoyl-CoA') & ('crotonoyl-CoA->3-hydroxybutyryl-CoA') & ('3-hydroxybutyryl-CoA->acetoacetyl-CoA') & ('acetoacetyl-CoA->acetyl-CoA')) | (('succinyl-CoA->succinate semialdehyde') & ('succinate semialdehyde->4-hydroxybutyrate') & ('acetyl-CoA+HCO3->malonyl-CoA') & ('acryloyl-CoA->propionyl-CoA')))
3hp4hb_key2	(('propionyl-CoA+HCO3->S-methylmalonyl-CoA') & ('malonyl-CoA->malonate semialdehyde') & ('malonate semialdehyde->3-hydroxypropanoate') & ('3-hydroxypropanoate->3-hydroxypropanoyl-CoA') & ('3-hydroxypropanoyl-CoA->acryloyl-CoA') & ('acryloyl-CoA->propionyl-CoA') & ('R-methylmalonyl-CoA<->succinyl-CoA') & ('4-hydroxybutyryl-CoA->crotonoyl-CoA'))
3hp4hb_CO2fixation	(('propionyl-CoA+HCO3->S-methylmalonyl-CoA') & ('acetyl-CoA+HCO3->malonyl-CoA'))
pyruvate->PEP-pps	('pps')
dicarb-4hb_full	(('succinate semialdehyde->4-hydroxybutyrate') & ('4-hydroxybutyrate->4-hydroxybutyryl-CoA') & ('4-hydroxybutyryl-CoA->crotonoyl-CoA') & ('crotonoyl-CoA->3-hydroxybutyryl-CoA') & ('3-hydroxybutyryl-CoA->acetoacetyl-CoA') & ('acetoacetyl-CoA->acetyl-CoA') & ('pyruvate<->acetyl-CoA+CO2_or') & ('pyruvate->PEP-pps') & ('PEP+HCO3->oxaloacetate') & ('oxaloacetate<->malate') & ('malate->fumarate') & ('fumarate->succinate-alt') & ('succinate<->succinyl-CoA_or') & ('succinyl-CoA->succinate semialdehyde'))
dicarb-4hb_CO2fixation	(('pyruvate<->acetyl-CoA+CO2_or') & ('PEP+HCO3->oxaloacetate'))
dicarb-4hb_key	('4-hydroxybutyryl-CoA->crotonoyl-CoA')
dicarb-4hb_keyandCO2fixation	(('dicarb-4hb_CO2fixation') & ('dicarb-4hb_key'))
co2fix	('cc_key') | ('3hpb1_key1') | ('3hp4hb_key1') | ('dicarb-4hb_CO2fixation') | ('rac_key1') | ('rca_key1')
ethanolamine-utilization_and	('eutK' & 'eutL' & 'eutM' & 'eutN' & 'eutS')
ethanolamine-utilization_or	('eutK' | 'eutL' | 'eutM' | 'eutN' | 'eutS')
CO2concentratingmechanism_and	('ccmK' & 'ccmL' & 'ccmM' & 'ccmN' & 'ccmO')
CO2concentratingmechanism_or	('ccmK' | 'ccmL' | 'ccmM' | 'ccmN' | 'ccmO')
carboxysome	('ethanolamine-utilization_and' | 'CO2concentratingmechanism_or')
citrate->oxaloacetate_and	('citD' & 'citE' & 'citF')
citrate->oxaloacetate_or	('citD' | 'citE' | 'citF')
pyruvate+HCO3->oxaloacetate	('pyc' & 'pycA' & 'pycB')
pyruvate->acetyl-CoA+formate	('pflD')
acetyl-CoA->acetoacetyl-CoA	('atoB')
acetoacetyl-CoA->3-hydroxybutyryl-CoA-NADP+	('hbd')
acetoacetyl-CoA->3-hydroxybutyryl-CoA-NAD+	('cch-hbcd')
3-hydroxybutyryl-CoA->crotonoyl-CoA	('crt' | 'echA' | 'fadB' | 'fadJ')
crotonoyl-CoA->butyryl-Coa	('bcd')
acetoacetyl-CoA->butyryl-CoA	(('acetoacetyl-CoA->3-hydroxybutyryl-CoA-NADP+') & ('3-hydroxybutyryl-CoA->crotonoyl-CoA') & ('crotonoyl-CoA->butyryl-Coa'))
butyryl-CoA->butanoyl phosphate	('ptb')
butanoyl phosphate->butanoate	('buk')
pyruvate->butanoate	(('pyruvate->acetyl-CoA+formate') & ('butanoyl phosphate->butanoate'))
butyryl-CoA->butanoate	(('butyryl-CoA->butanoyl phosphate') & ('butanoyl phosphate->butanoate'))
pyruvate->butanol	(('pyruvate->acetyl-CoA+formate') & ('butyraldehyde->butanol'))
butyraldehyde->butanol	('bdhAB')
acetoacetyl-CoA->butanoate	(('acetoacetyl-CoA->butyryl-CoA') & ('butyryl-CoA->butanoate'))
acetoacetyl-CoA->butanol	(('acetoacetyl-CoA->butyryl-CoA') & ('butyraldehyde->butanol'))
acetoacetyl-CoA->acetoacetate	('atoA' | 'atoD' | 'ydiF')
acetoacetate->acetone	('adc')
acetone->isopropanol	('isopadh')
acetoacetyl-CoA->acetone	(('acetoacetyl-CoA->acetoacetate') & ('acetoacetate->acetone'))
acetoacetyl-CoA->isopropanol	(('acetoacetyl-CoA->acetoacetate') & ('acetoacetate->acetone') & ('acetone->isopropanol'))
pyruvate->acetolactate	('aclSlarge' | 'aclSsmall_1' | 'aclSsmall_2')
acetolactate->acetoin	('alsD')
acetoin->butyleneglycol	('butB')
pyruvate->butyleneglycol	(('pyruvate->acetolactate') & ('acetolactate->acetoin') & ('acetoin->butyleneglycol'))
acetate->acetaldehyde	('aldh')
acetaldehyde->ethanol	('adh' | 'adhP' | 'adhE' | 'exaA' | 'yiaY')
acetyl-CoA->acetaldehyde	('adhE')
pyruvate->acetaldehyde	('pdc')
pyruvate->ethanol	(('pyruvate->acetaldehyde') & ('acetaldehyde->ethanol'))
pyruvate->lactate	('ldh')
xylulose 5-phosphate->acetyl-P+G3P	('xpk')
propanoyl phosphate->propionate	('tdcD' | 'pduW')
propionate fermentation_succinatepathway	(('R-methylmalonyl-CoA<->succinyl-CoA') & ('S-methylmalonyl-CoA<->R-methylmalonyl-CoA') & ('propanoyl phosphate->propionate'))
3PG->2PG	('gpmA' | 'gpmB' | 'gpmI' | 'apgM')
2PG->PEP	('eno')
pyruvate->acetate	(('poxB') | ('acetyl-CoA->acetate'))
pyruvate->propionate+acetate+CO2	('pct')
pyruvate->propanoate	('scpC')
acetylene->acetaldehyde	('ahy')
acetaldehyde->acetyl-CoA	('aldh')
acetylene->acetate	(('acetylene->acetaldehyde') & ('acetaldehyde->acetyl-CoA') & ('acetyl-CoA->acetyl-P') & ('acetyl-P<->acetate'))
acetylene->ethanol	(('acetylene->acetaldehyde') & ('acetaldehyde->ethanol'))
acetylene->acetate+ethanol	(('acetylene->acetate') & ('acetylene->ethanol'))
resorcinol->hydroxyhydroquinone	('graA')
resorcinol degradation	('resorcinol->hydroxyhydroquinone')
glycerol->DHA	('gldA')
DHA->DHAP	('dak')
glycerol->3-hydroxypropanal_and	('dhbE' & 'dhaC' & 'dhaB')
glycerol->3-hydroxypropanal_or	('dhbE' | 'dhaC' | 'dhaB')
3-hydroxypropanal->1,3-PDO	('dhaT')
glycerol->1,3-PDO	('glycerol->3-hydroxypropanal_or' & '3-hydroxypropanal->1,3-PDO')
glycerol degradation	(('glycerol->DHA') | ('glycerol->3-hydroxypropanal_or'))
galacturonate->tagaturonate	('uxaC')
tagaturonate->altronate	('uxaB')
altronate->2Keto3deoxyDgluconate	('uxaA')
galacturonate degradation	(('galacturonate->tagaturonate') & ('tagaturonate->altronate') & ('altronate->2Keto3deoxyDgluconate'))
galactose->alphagalactose	('galM')
alphagalactose->galactose1P	('galK')
galactose1P->UDP-galactose	('galT')
UDP-galactose->UDP-glucose	('galE' | 'capD')
galactose degradation	(('galactose->alphagalactose') & ('alphagalactose->galactose1P') & ('galactose1P->UDP-galactose') & ('UDP-galactose->UDP-glucose'))
mannose6P->fructose6P	('manA')
mannose degradation	('mannose6P->fructose6P')
fucose->fuculose	('fucI')
fuculose->fuculose1P	('fucK')
fuculose1P->glyceroneP	('fucA')
fucose degradation	(('fucose->fuculose') & ('fuculose->fuculose1P') & ('fuculose1P->glyceroneP'))
fructose->fructose6P	('scrK' | 'fruK')
fructose degradation	('fructose->fructose6P')
glucuronate->fructuronate	('uxaC')
fructuronate->mannonate	('uxuB')
mannonate->2Keto3deoxyDgluconate	('uxuA')
glucuronate degradation	('glucuronate->fructuronate' & 'fructuronate->mannonate' & 'mannonate->2Keto3deoxyDgluconate')
isocitrate->alpha-ketoglutarate	('icd' | 'hicdh')
alpha-ketoglutarate->succinyl-CoA	('pdhD' | 'ogdh' | 'dlst')
isocitrate->glyoxylate+succinate	('aceA')
glyoxylate->malate	('aceB')
oxaloacetate+acetyl-CoA->citrate	('gltA' | 'crs')
glyoxylatecycle_full	(('succinate->fumarate_key') & ('fumarate->malate_full') & ('oxaloacetate<->malate') & ('oxaloacetate+acetyl-CoA->citrate') & ('isocitrate<->citrate') & ('isocitrate->glyoxylate+succinate') & ('glyoxylate->malate'))
glyoxylatecycle_key	('isocitrate->glyoxylate+succinate')
TCA cycle_key	('alpha-ketoglutarate->succinyl-CoA')
TCA cycle_full	(('glyoxylatecycle_full') & ('isocitrate->alpha-ketoglutarate') & ('alpha-ketoglutarate->succinyl-CoA') & ('succinate<->succinyl-CoA_or'))
TCA cycle_partial	(('glyoxylatecycle_full') | ('isocitrate->alpha-ketoglutarate') | ('alpha-ketoglutarate->succinyl-CoA') | ('succinate<->succinyl-CoA_or'))
flgNJSTA	('flgN' | 'flgA')
flgMfliA	('flgM' | 'fliA')
flhCflhD	('flhC' | 'flhD')
fliHIOQPR	('fliH' | 'fliI' | 'fliO' | 'fliQ' | 'fliP' | 'fliR')
flhAB	('flhA' | 'flhB' | 'fliRflhB')
fliMN	('fliM' | 'fliN')
fliFG	('fliF' | 'fliG')
fliEflgBC	('fliE' | 'flgB' | 'flgC')
flgHI	('flgH' | 'flgI')
flgFG	('flgF' | 'flgG')
flgEfliKflgD	('flgE' | 'fliK' | 'flgD')
flgLK	('flgL' | 'flgK')
fliCD	('fliC' | 'fliD')
flagella_motor	(('motA') | ('motB'))
flagella_nonmotor	(('flgNJSTA') | ('flgMfliA') | ('flhCflhD') | ('fliHIOQPR') | ('flhAB') | ('fliMN') | ('fliFG') | ('fliEflgBC') | ('flgHI') | ('flgFG') | ('flgEfliKflgD') | ('flgLK') | ('fliCD'))
flagella	(('flagella_motor') & ('flagella_nonmotor'))
trehalose<->maltose	('treS1')
maltose->glucose	('malQ' | 'jgt')
trehalose degradation	('trehalose<->maltose')
maltose degradation	('maltose->glucose')
glucose->G6P	('glk')
G6P<->F6P	('pgi' | 'pgi_arch' | 'pgi-tal' | 'pgi-pmi')
F6P->F16BP	('pfk' | 'pfkA' | 'pfkB' | 'pfkC')
F16BP->DHAP+G3P	('fba_2' | 'fba_3' | 'aldo.classI-1' | 'aldo.classI-2' | 'aldo.classII')
DHAP<->G3P	('tpi')
3PG<->2PG	('gpmA' | 'gpmB' | 'gpmI' | 'apgM')
2PG<->PEP	('eno')
PEP->pyruvate	('pyk')
oxaloacetate->PEP	('pckA1' | 'pckA2')
pyruvate->PEP-ppdk	('ppdK')
F16BP->F6P	('fbpI' | 'fbpII' | 'fbpIII' | 'fbpI-sebp')
G6P->6PGL	('gpd')
6PGL->6PG	('pgl_1' | 'pgl_2')
6PG->KDPG	('edd')
KDPG->pyruvate+G3P	('eda' | 'dgaF' | 'kdpgA')
lactate->pyruvate_and	('lldE' & 'lldF' & 'lldG')
lactate->pyruvate_or	('lldE' | 'lldF' | 'lldG')
6PG->5RP	('pgd')
5RP<->X5P	('rpe')
5RP<->R5P	('rpiA' | 'rpiB')
G3P+S7P<->E4P+F6P	('tal')
X5P+E4P<->F6P+G3P	('tkt')
R5P+X5P<->G3P+S7P	('X5P+E4P<->F6P+G3P')
glycolysis-EMP_full	('glucose->G6P') & ('G6P<->F6P') & ('F6P->F16BP') & ('G3P<->PGAP') & ('PGAP<->3PG') & ('3PG<->2PG') & ('2PG<->PEP') & ('PEP->pyruvate')
glycolysis-ED_full	('glucose->G6P') & ('G6P->6PGL') & ('6PGL->6PG') & ('6PG->KDPG') & ('KDPG->pyruvate+G3P')
glycolysis	('glycolysis-EMP_full' | 'glycolysis-ED_full')
gluconeogenesis_full	(('pyruvate->PEP-ppdk' | 'oxaloacetate->PEP') & ('2PG<->PEP') & ('3PG<->2PG') & ('PGAP<->3PG') & ('G3P<->PGAP') & ('F16BP->F6P') & ('G6P<->F6P'))
oxppp	('G6P->6PGL') & ('6PGL->6PG') & ('6PG->5RP')
nonoxppp	('5RP<->X5P') & ('5RP<->R5P') & ('X5P+E4P<->F6P+G3P') & ('G3P+S7P<->E4P+F6P')
ppp	('oxppp' & 'nonoxppp')
5RP->PRPP	('prs')
GH1	('GH1')
GH2	('GH2')
GH3	('GH3')
GH4	('GH4')
GH5	('GH5')
GH6	('GH6')
GH7	('GH7')
GH8	('GH8')
GH9	('GH9')
GH10	('GH10')
GH11	('GH11')
GH12	('GH12')
GH16	('GH16')
GH18	('GH18')
GH19	('GH19')
GH20	('GH20')
GH23	('GH23')
GH26	('GH26')
GH27	('GH27')
GH30	('GH30')
GH31	('GH31')
GH36	('GH36')
GH39	('GH39')
GH43	('GH43')
GH44	('GH44')
GH45	('GH45')
GH48	('GH48')
GH51	('GH51')
GH52	('GH52')
GH54	('GH54')
GH62	('GH62')
GH74	('GH74')
GH79	('GH79')
GH97	('GH97')
GH98	('GH98')
GH124	('GH124')
GH110	('GH110')
GH113	('GH113')
GH116	('GH116')
GH120	('GH120')
GH134	('GH134')
acetyl-CoA+methylH4MPT->methylH4SPT+CO_full	('cdhC' & 'acsC' & 'acsD')
acetyl-CoA+methylH4MPT->methylH4SPT+CO_partial	('cdhC' | 'acsC' | 'acsD')
acetyl-P->acetyl-CoA	('pta1' | 'pta2')
acetate->acetyl-CoA	('acetyl-P<->acetate' & 'acetyl-P->acetyl-CoA')
acetate->acetyl-CoA-acss	('acss')
methylH4SPT+CoM->methylCoM+methylH4MPT_and	('tmtrA' & 'tmtrB' & 'tmtrC' & 'tmtrD' & 'tmtrE' & 'tmtrF' & 'tmtrG' & 'tmtrH')
