"rule-name"	"rule-boolean"
"3hp4hb_full"	"((((('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5')) & (('epi')) & (('mut')) & (('asd1' | 'asd2')) & (('ssadh')) & (('4hbl1' & '4hbl2' & '4hbl3')) & (('abfD')) & (('cch-hbcd')) & ((('cch-hbcd'))) & (('atoB')))) & (((('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5' | 'pcc6')) & (('mcr' | 'asd1')) & (('mcr' | 'hydg')) & (('hys' | 'acr-hydt')) & (('hydt' | 'acr-hydt')) & (('acr' | 'acr-hydt')))))"
"3hp4hb_key"	"((('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5')) & (('mcr' | 'asd1')) & (('mcr' | 'hydg')) & (('hys' | 'acr-hydt')) & (('hydt' | 'acr-hydt')) & (('acr' | 'acr-hydt')) & (('mut')) & (('abfD')))"
"3hp4hb_CO2fixation"	"((('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5')) & (('bccP' | 'accC' | 'accA' | 'accD' | 'pcc1' | 'pcc2' | 'pcc3' | 'pcc4' | 'pcc5' | 'pcc6')))"
"pyruvate->PEP-pps"	"('pps')"
"dicarb-4hb_full"	"((('ssadh')) & (('4hbl1' & '4hbl2' & '4hbl3')) & (('abfD')) & (('cch-hbcd')) & ((('cch-hbcd'))) & (('atoB')) & (('porA' | 'porB' | 'porD' | 'porG')) & (('pps')) & (('ppc')) & (('mdh')) & (('fumI' | ('fumalpha' & 'fumbeta') | 'fumII')) & (('sdhA' & 'sdhB' & 'sdhC' & ('sdhD' | 'sdhD_arch1' | 'sdhD_arch2'))) & (('sucC' | 'sucD')) & (('asd1' | 'asd2')))"
"dicarb-4hb_CO2fixation"	"((('porA' | 'porB' | 'porD' | 'porG')) & (('ppc')))"
"dicarb-4hb_key"	"(('abfD'))"
"dicarb-4hb_keyandCO2fixation"	"((((('porA' | 'porB' | 'porD' | 'porG')) & (('ppc')))) & ((('abfD'))))"
"ethanolamine-utilization_and"	"('eutK' & 'eutL' & 'eutM' & 'eutN' & 'eutS')"
"ethanolamine-utilization_or"	"('eutK' | 'eutL' | 'eutM' | 'eutN' | 'eutS')"
"CO2concentratingmechanism_and"	"('ccmK' & 'ccmL' & 'ccmM' & 'ccmN' & 'ccmO')"
"CO2concentratingmechanism_or"	"('ccmK' | 'ccmL' | 'ccmM' | 'ccmN' | 'ccmO')"
"carboxysome"	"(('eutK' & 'eutL' & 'eutM' & 'eutN' & 'eutS') | ('ccmK' | 'ccmL' | 'ccmM' | 'ccmN' | 'ccmO'))"
"citrate->oxaloacetate_and"	"('citD' & 'citE' & 'citF')"
"citrate->oxaloacetate_or"	"('citD' | 'citE' | 'citF')"
