functional group	relationtype	taxa	taxa_original	taxalevel	reference
hydrogenotrophic_methanogenesis	annotation	hydrogenotrophic_methanogenesis	hydrogenotrophic_methanogenesis	annotation	elements:C,H; main_element:C; electron_donor:H; electron_acceptor:C; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
intracellular_parasites	annotation	intracellular_parasites	intracellular_parasites	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
invertebrate_parasites	annotation	invertebrate_parasites	invertebrate_parasites	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
iron_respiration	annotation	iron_respiration	iron_respiration	annotation	elements:Fe; main_element:Fe; electron_donor:variable; electron_acceptor:Fe; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
knallgas_bacteria	annotation	knallgas_bacteria	knallgas_bacteria	annotation	elements:H,O; main_element:H; electron_donor:H; electron_acceptor:O; aerobic:yes; exclusively_prokaryotic:yes; light_dependent:no
ligninolysis	annotation	ligninolysis	ligninolysis	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
mammal_gut	annotation	mammal_gut	mammal_gut	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
manganese_oxidation	annotation	manganese_oxidation	manganese_oxidation	annotation	elements:Mn; main_element:Mn; electron_donor:Mn; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
manganese_respiration	annotation	manganese_respiration	manganese_respiration	annotation	elements:Mn; main_element:Mn; electron_donor:variable; electron_acceptor:Mn; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
methanogenesis	annotation	methanogenesis	methanogenesis	annotation	elements:C,H; main_element:C; electron_donor:variable; electron_acceptor:variable; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
methanogenesis_by_CO2_reduction_with_H2	annotation	methanogenesis_by_CO2_reduction_with_H2	methanogenesis_by_CO2_reduction_with_H2	annotation	elements:C,H; main_element:C; electron_donor:H; electron_acceptor:C; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
methanogenesis_by_disproportionation_of_methyl_groups	annotation	methanogenesis_by_disproportionation_of_methyl_groups	methanogenesis_by_disproportionation_of_methyl_groups	annotation	elements:C,H; main_element:C; electron_donor:none; electron_acceptor:none; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
methanogenesis_by_reduction_of_methyl_compounds_with_H2	annotation	methanogenesis_by_reduction_of_methyl_compounds_with_H2	methanogenesis_by_reduction_of_methyl_compounds_with_H2	annotation	elements:C,H; main_element:C; electron_donor:H; electron_acceptor:C; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
methanogenesis_using_formate	annotation	methanogenesis_using_formate	methanogenesis_using_formate	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:C; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
methanol_oxidation	annotation	methanol_oxidation	methanol_oxidation	annotation	elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
methanotrophy	annotation	methanotrophy	methanotrophy	annotation	elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
plastic_degradation	annotation	Methylobacterium*mesophilicum*	Methylobacterium*mesophilicum*	annotation	# DOI:10.1007/s00253-008-1548-5
methylotrophy	annotation	methylotrophy	methylotrophy	annotation	elements:C,H; main_element:C; electron_donor:variable; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
nitrate_ammonification	annotation	nitrate_ammonification	nitrate_ammonification	annotation	elements:N; main_element:N; electron_donor:variable; electron_acceptor:N; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
nitrate_denitrification	annotation	nitrate_denitrification	nitrate_denitrification	annotation	elements:N; main_element:N; electron_donor:variable; electron_acceptor:N; aerobic:no; exclusively_prokaryotic:no; light_dependent:no
nitrate_reduction	annotation	nitrate_reduction	nitrate_reduction	annotation	elements:N; main_element:N; electron_donor:variable; electron_acceptor:N; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
nitrate_respiration	annotation	nitrate_respiration	nitrate_respiration	annotation	elements:N; main_element:N; electron_donor:variable; electron_acceptor:N; aerobic:no; exclusively_prokaryotic:no; light_dependent:no
nitrification	annotation	nitrification	nitrification	annotation	elements:N,O; main_element:N; electron_donor:N; electron_acceptor:O; aerobic:yes; exclusively_prokaryotic:yes; light_dependent:no
nitrite_ammonification	annotation	nitrite_ammonification	nitrite_ammonification	annotation	elements:N; main_element:N; electron_donor:variable; electron_acceptor:N; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
nitrite_denitrification	annotation	nitrite_denitrification	nitrite_denitrification	annotation	elements:N; main_element:N; electron_donor:variable; electron_acceptor:N; aerobic:no; exclusively_prokaryotic:no; light_dependent:no
nitrite_respiration	annotation	nitrite_respiration	nitrite_respiration	annotation	elements:N; main_element:N; electron_donor:variable; electron_acceptor:N; aerobic:no; exclusively_prokaryotic:no; light_dependent:no
nitrogen_fixation	annotation	nitrogen_fixation	nitrogen_fixation	annotation	elements:N; main_element:N; electron_donor:variable; electron_acceptor:N; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
nitrogen_respiration	annotation	nitrogen_respiration	nitrogen_respiration	annotation	elements:N; main_element:N; electron_donor:variable; electron_acceptor:N; aerobic:no; exclusively_prokaryotic:no; light_dependent:no
nitrous_oxide_denitrification	annotation	nitrous_oxide_denitrification	nitrous_oxide_denitrification	annotation	elements:N; main_element:N; electron_donor:variable; electron_acceptor:N; aerobic:no; exclusively_prokaryotic:no; light_dependent:no
oil_bioremediation	annotation	oil_bioremediation	oil_bioremediation	annotation	elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
oxygenic_photoautotrophy	annotation	oxygenic_photoautotrophy	oxygenic_photoautotrophy	annotation	elements:C,O; main_element:C; electron_donor:O; electron_acceptor:C; aerobic:yes; exclusively_prokaryotic:no; light_dependent:yes
photoautotrophy	annotation	photoautotrophy	photoautotrophy	annotation	elements:C,variable; main_element:C; electron_donor:variable; electron_acceptor:C; aerobic:variable; exclusively_prokaryotic:no; light_dependent:yes
photoheterotrophy	annotation	photoheterotrophy	photoheterotrophy	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:C; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:yes
phototrophy	annotation	phototrophy	phototrophy	annotation	elements:variable; main_element:variable; electron_donor:variable; electron_acceptor:C; aerobic:variable; exclusively_prokaryotic:no; light_dependent:yes
plant_pathogen	annotation	plant_pathogen	plant_pathogen	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
plastic_degradation	annotation	plastic_degradation	plastic_degradation	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
predatory_or_exoparasitic	annotation	predatory_or_exoparasitic	predatory_or_exoparasitic	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
reductive_acetogenesis	annotation	reductive_acetogenesis	reductive_acetogenesis	annotation	elements:C; main_element:C; electron_donor:variable; electron_acceptor:C; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
respiration_of_sulfur_compounds	annotation	respiration_of_sulfur_compounds	respiration_of_sulfur_compounds	annotation	elements:S; main_element:S; electron_donor:variable; electron_acceptor:S; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
ureolysis	annotation	Roseospira*mediosalina*	Roseospira*mediosalina*	annotation	# Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
sulfate_respiration	annotation	sulfate_respiration	sulfate_respiration	annotation	elements:S; main_element:S; electron_donor:variable; electron_acceptor:S; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
sulfite_respiration	annotation	sulfite_respiration	sulfite_respiration	annotation	elements:S; main_element:S; electron_donor:variable; electron_acceptor:S; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
sulfur_respiration	annotation	sulfur_respiration	sulfur_respiration	annotation	elements:S; main_element:S; electron_donor:variable; electron_acceptor:S; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
thiosulfate_respiration	annotation	thiosulfate_respiration	thiosulfate_respiration	annotation	elements:S; main_element:S; electron_donor:variable; electron_acceptor:S; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
ureolysis	annotation	ureolysis	ureolysis	annotation	elements:N,C; main_element:N; electron_donor:none; electron_acceptor:none; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
xylanolysis	annotation	xylanolysis	xylanolysis	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
sulfate_respiration	taxa	Bacteria Thermodesulfobacteria	Bacteria Thermodesulfobacteria	class	# Garrity, Brenner, Krieg and Staley (2001) Bergey's Manual of Systematic Bacteriology, vol. 1
